sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,area_mean,area_std,area_cv,area_q10,area_q50,area_q90,area_skew,perimeter_mean,perimeter_std,perimeter_cv,perimeter_q10,perimeter_q50,perimeter_q90,perimeter_skew,shape_mean,shape_std,shape_q10,shape_q50,shape_q90,elongation_mean,elongation_std,elongation_q10,elongation_q50,elongation_q90,neighbors_mean,neighbors_std,center_x_std,center_y_std,xy_corr,frac_neighbors_4,frac_neighbors_5,frac_neighbors_6,frac_neighbors_7,frac_neighbors_8
sim__lam_m0p05__gam_0p07__rep_000__20260601_173116_321769,0,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.633379857142857,0.27453236423119104,0.4334403141097012,0.38877649999999997,0.52732,1.08792,1.0382787709035943,2.9448568123918717,0.5665744658916694,0.19239457195587512,2.408910926271814,2.7455612625412336,3.8536634602776156,0.826017940463743,3.792959139860751,0.08456415362703186,3.6961513236313226,3.778997596636448,3.8949907498910266,1.2735415896035265,0.16411753638727836,1.1135441900201537,1.2340570039535699,1.5211481889174165,6.0,0.9948848769417228,3.1783069196423472,3.1735357986153123,-0.02651196550619245,0.030612244897959183,0.29591836734693877,0.40816326530612246,0.18877551020408162,0.061224489795918366
sim__lam_m0p05__gam_0p07__rep_001__20260601_173131_819150,1,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6327934693877552,0.29252292084382747,0.4622723447610625,0.3884215,0.5118255,1.17923,1.345553799501414,2.937027587143205,0.586573949575108,0.19971686753731122,2.4053982366095275,2.7038865598683453,4.031152389259502,1.1536240500503436,3.7889897728893667,0.08070923622953019,3.695648756276448,3.7762203038240196,3.878332670591231,1.2842010719075507,0.156627269193085,1.1095585518057929,1.2690747586026898,1.4765045080773693,6.005102040816326,0.9175024271757465,3.147072548433069,3.099512840854588,-0.04360870699226823,0.015306122448979591,0.29591836734693877,0.42857142857142855,0.19387755102040816,0.061224489795918366
sim__lam_m0p05__gam_0p07__rep_002__20260601_173147_206700,2,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6287604285714286,0.2526502404424798,0.4018227435465532,0.3860625,0.5413245,1.023865,1.3022249637279903,2.9494724436308375,0.5236924712516418,0.17755462417773674,2.414700873423298,2.7826318246757404,3.7513469972241946,1.045353473197077,3.795156109139455,0.07686799451144707,3.7079875371188864,3.7815558830728966,3.8887011631510573,1.2907688772071084,0.17422470115422464,1.1028491805852307,1.2556894432983723,1.5291865804323188,5.994897959183674,0.836034425736311,3.091766995372852,3.2082341273771235,-0.013937443394223616,0.02040816326530612,0.2653061224489796,0.4387755102040816,0.25,0.025510204081632654
sim__lam_m0p05__gam_0p07__rep_003__20260601_173203_186297,3,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6409118571428573,0.2817304945092355,0.43957759771325167,0.38731099999999996,0.521388,1.152135,1.258003898032832,2.9613837670586043,0.570025136203335,0.19248607443044105,2.399031814772307,2.7398705730697515,3.975390255420326,1.001176794433088,3.7887774535998093,0.0838874724390769,3.703180504097018,3.7674560449349688,3.894937879070103,1.2848953720939071,0.17417723821796385,1.0847752167195504,1.249636037800777,1.4983127423059244,6.020408163265306,0.8265935980032096,3.1546182692989744,3.1119354714937475,-0.01329143299319692,0.01020408163265306,0.25,0.49489795918367346,0.20408163265306123,0.03571428571428571
sim__lam_m0p05__gam_0p07__rep_004__20260601_173219_821133,4,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6359680459183673,0.27526720710713837,0.43283182051891766,0.3989575,0.5139325,1.10379,1.2141983926088462,2.9513759225935585,0.5618963293228324,0.19038453387831009,2.4394912757337552,2.714107658788057,3.8599287512421374,0.9988770941215419,3.7874982393455032,0.07420577389167358,3.6944125240365375,3.779441574323811,3.8818697691657174,1.289629098006216,0.19263224377903906,1.0950359359100208,1.2528455295834882,1.5188153239265856,6.0,0.8390957231764807,3.124745216013129,3.1602990733625673,-0.0016721483113468854,0.0,0.30612244897959184,0.42857142857142855,0.22959183673469388,0.030612244897959183
sim__lam_m0p05__gam_0p07__rep_005__20260601_173236_924024,5,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6541460765306122,0.27934012677386694,0.42703019523555547,0.3982025,0.539113,1.13497,1.1699958699754571,3.000472456999772,0.5758046914141852,0.19190467490234892,2.4287806793930318,2.7824558094291874,3.988274537780395,0.9634789391651621,3.7931671667303872,0.06725928269910132,3.714433540088396,3.783688511179943,3.8733270488036835,1.3064712376762893,0.18210489291056897,1.1009069354843928,1.2814796442387149,1.5610801403798202,6.010204081632653,0.8080576100797705,3.2026597815691242,3.082512132643743,-0.04310494598663605,0.00510204081632653,0.2653061224489796,0.4846938775510204,0.20408163265306123,0.04081632653061224
sim__lam_m0p05__gam_0p07__rep_006__20260601_173253_178150,6,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6341617908163266,0.2700988918426257,0.42591479927309117,0.396502,0.5315235,1.089235,1.1956355032677006,2.950110928580729,0.5449096202963042,0.18470817995927713,2.4415007654060195,2.744524369148164,3.8960797416072293,0.9530462951770807,3.793152589552521,0.08854075501219955,3.6927582662368548,3.7703804689595026,3.897607180629091,1.2792250587778908,0.17715133316984413,1.0869745881533786,1.2406487652097284,1.5196264883300086,6.035714285714286,1.0564428184106458,3.1419908802276764,3.106836379637977,0.000962305491979371,0.03571428571428571,0.27040816326530615,0.4387755102040816,0.15816326530612246,0.08163265306122448
sim__lam_m0p05__gam_0p07__rep_007__20260601_173310_253572,7,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6581093520408163,0.2925464347202058,0.4445255698199186,0.3840195,0.529116,1.1658499999999998,1.0573908313621538,3.0025709262293274,0.5935541041330769,0.19768195946607434,2.4058212116123356,2.7692852301150914,4.010485714249553,0.8383725084423084,3.796497656752263,0.08453396912338898,3.7008019169414617,3.7785170074838152,3.9101527639133344,1.2921218262185155,0.18667586476898726,1.1019289818454108,1.2561319050414275,1.5101982358367154,6.010204081632653,0.958260519721443,3.2289386662285597,3.177672708433248,-0.013781372403955772,0.02040816326530612,0.29081632653061223,0.42346938775510207,0.20918367346938777,0.04081632653061224
sim__lam_m0p05__gam_0p07__rep_008__20260601_173327_293189,8,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.650272331632653,0.30171013392237317,0.463975044370101,0.383748,0.531987,1.20946,1.1213407619085953,2.9738948758381683,0.6113399015677097,0.20556876658096493,2.4069872484473036,2.737353937888215,4.042316571487989,0.9277232626315702,3.7888157302667995,0.07800859121472008,3.6925414315385194,3.7774045633126336,3.8900013249985435,1.2597227589699629,0.1694722369078729,1.0731241539664682,1.2163254888891828,1.4768767257219608,5.979591836734694,0.9473872970151151,3.209290785617512,3.2330644529524326,0.03874459683810359,0.015306122448979591,0.33163265306122447,0.3877551020408163,0.19387755102040816,0.0663265306122449
sim__lam_m0p05__gam_0p07__rep_009__20260601_173343_509696,9,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6246417704081633,0.2538061317998391,0.406322701784075,0.3844365,0.5252715,1.0339049999999999,1.1416788713160233,2.9315078790329205,0.5366889923300272,0.1830760872820486,2.3837209302705813,2.724275493195437,3.7759013079330606,0.8852330969157982,3.786698246813546,0.07376327781746111,3.7090175724225585,3.764790363882065,3.874984048477521,1.2670058575545329,0.166505236055291,1.0799092814366782,1.2412058334730132,1.4726612036379652,5.98469387755102,0.8048135848064732,3.0040231269358357,3.1710364480611295,-0.048631540810308224,0.015306122448979591,0.24489795918367346,0.5204081632653061,0.17857142857142858,0.04081632653061224
sim__lam_m0p05__gam_0p07__rep_010__20260601_173400_545392,10,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6438065918367347,0.28022932797105465,0.4352694295520413,0.401118,0.5212475000000001,1.097035,1.2609336370067945,2.968729614087842,0.5689905729678524,0.19166129857955624,2.4353314809704107,2.7380312779824925,3.9094283744435163,1.0462344610769094,3.787072446116402,0.07634322852199106,3.7023356655823165,3.7671948928907817,3.8852986010976673,1.2705454063392099,0.16966820086058637,1.095992651007188,1.236700978226951,1.4921503127339992,5.974489795918367,0.8946338008654594,3.1219858976407515,3.146788757991043,0.009004745801621559,0.015306122448979591,0.3010204081632653,0.44387755102040816,0.17346938775510204,0.0663265306122449
sim__lam_m0p05__gam_0p07__rep_011__20260601_173416_922619,11,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6626095918367346,0.2960914190242649,0.446856524070322,0.398117,0.5365715,1.1962700000000002,1.064083573232869,3.0058264626091753,0.6067543656745292,0.20185941311716338,2.4381542990345606,2.7737056452218223,4.033519892047151,0.8372959105063446,3.785109064902119,0.07095926281009231,3.706530234388413,3.7727099746072437,3.865556159564059,1.2701001981157323,0.16715100667005628,1.0908213520713146,1.245572996493352,1.4993923276510528,6.020408163265306,0.8265935980032096,3.1849804589720527,3.202734529616212,0.01262400087827888,0.00510204081632653,0.25,0.5204081632653061,0.17857142857142858,0.03571428571428571
