sim_id,replica,init_id,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_m0p05__gam_0p07__rep_003__20260601_174035_259999,3,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,8.166684142984689,False
sim__lam_m0p05__gam_0p07__rep_004__20260601_174053_082625,4,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,4.837039886499307,False
sim__lam_m0p05__gam_0p07__rep_005__20260601_174108_288021,5,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,2.066448743158155,True
sim__lam_m0p05__gam_0p07__rep_006__20260601_174125_931091,6,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,6.718919355461549,True
sim__lam_m0p05__gam_0p07__rep_007__20260601_174141_196783,7,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,3.9127400008974385,False
sim__lam_m0p05__gam_0p07__rep_008__20260601_174156_514958,8,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,7.363408766189586,False
sim__lam_m0p05__gam_0p07__rep_009__20260601_174213_582878,9,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,4.607069872091971,False
sim__lam_m0p05__gam_0p07__rep_010__20260601_174229_337042,10,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,4.773979957109649,False
sim__lam_m0p05__gam_0p07__rep_011__20260601_174245_060808,11,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,9.124379435328287,False
sim__lam_m0p05__gam_0p07__rep_012__20260601_174301_792105,12,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,3.7420235641797195,False
sim__lam_m0p05__gam_0p07__rep_013__20260601_174317_392030,13,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,5.141886314921225,False
sim__lam_m0p05__gam_0p07__rep_014__20260601_174333_515711,14,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,3.7378861845471056,True
sim__lam_m0p05__gam_0p07__rep_015__20260601_174351_507141,15,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,3.7378861845471056,True
sim__lam_m0p05__gam_0p07__rep_016__20260601_174406_536141,16,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,6.07243809988499,False
sim__lam_m0p05__gam_0p07__rep_017__20260601_174424_070118,17,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,6.718919355461549,True
sim__lam_m0p05__gam_0p07__rep_018__20260601_174439_672677,18,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,5.85496096335201,False
sim__lam_m0p05__gam_0p07__rep_019__20260601_174455_256265,19,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,5.6467984784406635,False
sim__lam_m0p05__gam_0p07__rep_020__20260601_174511_647141,20,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,7.830678872593331,False
sim__lam_m0p05__gam_0p07__rep_021__20260601_174528_223513,21,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,3.7378861845471056,True
sim__lam_m0p05__gam_0p07__rep_022__20260601_174543_826612,22,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,6.824437549022251,False
sim__lam_m0p05__gam_0p07__rep_023__20260601_174602_230339,23,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,7.125963668816085,False
sim__lam_m0p05__gam_0p07__rep_024__20260601_174617_704334,24,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,4.323920587413818,False
sim__lam_m0p05__gam_0p07__rep_025__20260601_174634_362125,25,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,3.7378861845471056,True
sim__lam_m0p05__gam_0p07__rep_026__20260601_174650_238488,26,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,8.255780601262,False
sim__lam_m0p05__gam_0p07__rep_027__20260601_174705_820560,27,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,4.022209388597869,False
sim__lam_m0p05__gam_0p07__rep_028__20260601_174722_324178,28,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,4.035568538521385,False
