grupo_1,grupo_2,distancia_centroides,within_mean_1,within_mean_2,within_mean_promedio,separation_ratio
I_perfect,I_2000,1.0674842893460663,5.302363461583896,5.840770434850804,5.571566948217351,0.1915949856238581
I_perfect,I_1000_1,2.631313158164236,5.302363461583896,5.529502978945172,5.4159332202645345,0.48584667704520046
I_perfect,I_1000_2,1.3393161839758785,5.302363461583896,5.322494508983965,5.312428985283931,0.25210994588086655
I_2000,I_1000_1,2.6574392337907984,5.840770434850804,5.529502978945172,5.685136706897988,0.46743629411170157
I_2000,I_1000_2,1.2743255454665818,5.840770434850804,5.322494508983965,5.581632471917384,0.22830696071051587
I_1000_1,I_1000_2,2.4364962901468568,5.529502978945172,5.322494508983965,5.425998743964568,0.44904107153674033
