grupo_ic,within_mean,within_std,within_median,within_max
I_perfect,5.302363461583896,1.458976723185545,5.226208327693792,9.143201267551346
I_2000,5.840770434850804,1.8421318526483788,5.534056027905937,8.940768094413945
I_1000_1,5.529502978945172,1.565008323336151,5.3630584558249215,9.375344643349445
I_1000_2,5.322494508983965,1.0374931952253394,5.218939522531324,7.663129823370788
