componente,varianza_explicada,varianza_explicada_acumulada
PC1,0.2795993605137524,0.2795993605137524
PC2,0.17893185215393756,0.4585312126676899
PC3,0.12401435261448747,0.5825455652821774
PC4,0.06854637826901393,0.6510919435511913
PC5,0.060509085543626495,0.7116010290948178
PC6,0.0455918096787249,0.7571928387735427
PC7,0.04198319225435715,0.7991760310278999
PC8,0.03900000291638123,0.8381760339442812
PC9,0.028452387854236375,0.8666284217985176
PC10,0.023569999969473347,0.890198421767991
