grupo_ic,count,mean,std,min,median,max
I_perfect,30,-0.01952352691095503,0.04444288903476928,-0.1346428413315718,-0.007761623887358102,0.04471266611442935
I_2000,30,-0.06559657080412944,0.039582732125780354,-0.133278042344265,-0.07255853410454699,-0.0026236477984648266
I_1000_1,30,-0.0024498883484053336,0.09906037900661216,-0.19305470919386894,0.010127189753270248,0.14336664237013977
I_1000_2,30,-0.016791426488137022,0.03942221339179499,-0.12850674886088945,-0.01714158138823309,0.0670491411371806
