epoch,train_loss,test_loss
1,0.6678537856198151,0.5423390387518153
2,0.5624165662232645,0.4323529675547764
3,0.46548604228560514,0.36648068000747924
4,0.41972464241990326,0.32241712781365583
5,0.383566641322338,0.3125915527895236
6,0.3785180067707277,0.2746162514204365
7,0.3535614914330589,0.2734020962031747
8,0.33340364727678395,0.2308038737953018
9,0.323195415338248,0.266148752046902
10,0.315883416384045,0.3054376952984349
11,0.31296338538788293,0.22831801771786722
12,0.30146914397975455,0.2648748054240122
13,0.29603251475189485,0.2522713028054428
14,0.2969693664788759,0.25855194010132776
15,0.2833247095925404,0.2958448528085348
16,0.27753875602405453,0.3755292525055848
17,0.283294077265825,0.202500188895546
18,0.27993614576570863,0.22817357700679322
19,0.2758668446518777,0.1913668648191596
20,0.26805535233980193,0.21248869615007912
21,0.2649293249729714,0.23388667019714168
22,0.262343088092901,0.1940112006026758
23,0.25923888199755046,0.2252908301940236
24,0.26597441397366095,0.25544382417802014
25,0.25332654367763613,0.20654462047367958
26,0.2509875540982563,0.16245987798486436
27,0.2529610249645505,0.24825833644097509
28,0.25753745889354923,0.20416182848720707
29,0.24828036262909645,0.3057717227829906
30,0.24644358244127526,0.23093914387294048
31,0.24518092431258978,0.24641367762199956
32,0.2539932579312139,0.21076582535428529
33,0.24738106136516108,0.21603160924509135
34,0.24322476072459173,0.2667164277205372
35,0.2473338086058099,0.18149079271019344
36,0.23846187238666772,0.2287810485200649
37,0.24200523144993707,0.23938770323087338
38,0.2476582436568201,0.23044323803185535
39,0.24672539448374184,0.21831406028093364
40,0.24488741168261235,0.22237143900485323
41,0.2507321720648209,0.27860993364181985
42,0.24180987369231224,0.3119886470868974
43,0.23953430022937516,0.21402536020465995
44,0.23839142657781948,0.37590285404402624
45,0.24233346837852754,0.26514595414999237
46,0.2329318033253893,0.49992550570906574
47,0.24045433156695442,0.22029127824712383
48,0.23330673209833502,0.33107075713944384
49,0.2369188239186258,0.24731817988225216
50,0.2273287997490603,0.2176810040639825
