epoch,train_loss,test_loss
1,0.7471189756397844,0.5210627317428589
2,0.5058827896453406,0.4216655492782593
3,0.4228959526870121,0.3570787012577057
4,0.36366913932876166,0.31865745782852173
5,0.32639104276757674,0.2976420819759369
6,0.3046170495291974,0.2858400344848633
7,0.29094902265413725,0.27605387568473816
8,0.27908436395744834,0.2684932351112366
9,0.2694793888863097,0.2605772316455841
10,0.26019721464439194,0.2556191384792328
11,0.25212562619040785,0.24849359691143036
12,0.24459982894974433,0.24487116932868958
13,0.23741369057622472,0.23690219223499298
14,0.2302312930075798,0.23180809617042542
15,0.22523817906602459,0.22404925525188446
16,0.22003033866108182,0.2206430584192276
17,0.21465156990328285,0.21516159176826477
18,0.21045890474083742,0.2108278125524521
19,0.20512261512541968,0.20582805573940277
20,0.2003092648845707,0.19975081086158752
21,0.19626121728867982,0.19751401245594025
22,0.19391506108059914,0.1927749067544937
23,0.1892369992197056,0.18803656101226807
24,0.18727684351826684,0.18900121748447418
25,0.18359416499251463,0.18299880623817444
26,0.180812216709324,0.17956112325191498
27,0.1789797027556572,0.1783597320318222
28,0.17648556019342354,0.17553186416625977
29,0.17601979706543228,0.1737893968820572
30,0.1721283644575636,0.17361634969711304
31,0.17370150670422987,0.16831755638122559
32,0.1688690690063526,0.16946598887443542
33,0.1682939279366157,0.16657531261444092
34,0.1656260541834068,0.16305162012577057
35,0.16437962466539,0.16308458149433136
36,0.16335157912214193,0.1629737913608551
37,0.1625022545084702,0.161580890417099
38,0.16157234463561584,0.1585398018360138
39,0.16095168470895257,0.15982861816883087
40,0.16028372870342913,0.15584087371826172
41,0.15838583578096288,0.1568700671195984
42,0.15820320641189456,0.15507090091705322
43,0.1577690267430534,0.15558992326259613
44,0.15628841832266374,0.1528845876455307
45,0.15772946444956049,0.151847243309021
46,0.15515599404629682,0.1527165323495865
47,0.15558422353397797,0.15034641325473785
48,0.15429057879761124,0.15074780583381653
49,0.15412231692553227,0.14911839365959167
50,0.15433008304412005,0.1470281481742859
51,0.1527292871646149,0.15044040977954865
52,0.15115086677777997,0.1478714495897293
53,0.1521600582925508,0.14605355262756348
54,0.15012758056858036,0.1465224325656891
55,0.1492100409494849,0.14433547854423523
56,0.14886432642136097,0.14568641781806946
57,0.14841985084964213,0.14587077498435974
58,0.1493139018017754,0.1438571810722351
59,0.14630209945424855,0.1424141675233841
60,0.14519882317939145,0.14060500264167786
61,0.14768657494925658,0.14123548567295074
62,0.1465046379325789,0.14128851890563965
63,0.14419855169131732,0.1397387534379959
64,0.1442444266873747,0.13871578872203827
65,0.14376420292669043,0.14038242399692535
66,0.14375752293324714,0.1411982774734497
67,0.14324339684426343,0.13761381804943085
68,0.14125766151625177,0.14094975590705872
69,0.14154764087000563,0.14214636385440826
70,0.14201860885229736,0.13824976980686188
71,0.14035217883711495,0.13791245222091675
72,0.13851194694348776,0.1341390311717987
73,0.1385017118031619,0.1334647536277771
74,0.1395109036280864,0.13417789340019226
75,0.1375329762586943,0.1345309317111969
76,0.1368437527397184,0.13622838258743286
77,0.13742521811865965,0.13363726437091827
78,0.1362635419530851,0.13152089715003967
79,0.1349407564245585,0.1310514658689499
80,0.1349480688006761,0.13240857422351837
81,0.13464968390314805,0.1318272203207016
82,0.13686376361040248,0.12961961328983307
83,0.13294325499458515,0.1285737305879593
