sim_id,replica,init_id,grupo,lambda_cc,gamma,area_mean,area_std,area_cv,area_q10,area_q50,area_q90,area_skew,perimeter_mean,perimeter_std,perimeter_cv,perimeter_q10,perimeter_q50,perimeter_q90,perimeter_skew,shape_mean,shape_std,shape_q10,shape_q50,shape_q90,elongation_mean,elongation_std,elongation_q10,elongation_q50,elongation_q90,neighbors_mean,neighbors_std,center_x_std,center_y_std,xy_corr,frac_neighbors_4,frac_neighbors_5,frac_neighbors_6,frac_neighbors_7,frac_neighbors_8
sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8080920969387756,0.26921628121143054,0.33315049389908136,0.5757275,0.6730149999999999,1.233645,1.2242314331305166,3.370091898308065,0.4892450359478073,0.14517260974197313,2.9479101011965456,3.1158127935528634,4.155741988610515,1.0952826233148527,3.8024161205495353,0.07761091619196507,3.718913639799414,3.7870109030488806,3.9132303864436233,1.321354802986495,0.20712329620516473,1.1000085157532535,1.2690658239255443,1.5891939259293637,5.989795918367347,0.8329306260058172,3.5010925709233836,3.643377626273669,-0.014187305638247815,0.01020408163265306,0.27040816326530615,0.4846938775510204,0.19387755102040816,0.03571428571428571
sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.832455918367347,0.27456809042547403,0.3298289847751224,0.577333,0.6822325,1.28102,0.8903968510194021,3.429495410274893,0.5161213168383442,0.15049482652517202,2.92580469341602,3.162161534924736,4.267008915676628,0.7682538343738495,3.8119998173698053,0.07490110570800956,3.725242620771611,3.8088454439657475,3.9104185390414132,1.3640302305401943,0.21730929236939941,1.1229717834753332,1.332663774911346,1.6216085465115015,6.0,0.7953949089757174,3.559273393608103,3.55023920982426,-0.010744086251776894,0.00510204081632653,0.24489795918367346,0.5459183673469388,0.15816326530612246,0.04081632653061224
sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8331191020408162,0.2944601943664826,0.3534430955247776,0.559215,0.695049,1.314285,1.0092036727682119,3.4189293396413576,0.5354602643435573,0.15661635885097583,2.8958579678603544,3.1987189691591507,4.296595181841248,0.8720058396870372,3.807244708910866,0.07727521330686049,3.714494037128425,3.800526189718183,3.8973716651348194,1.3411444606265446,0.19665693476047957,1.097845313797396,1.3203121436934757,1.5947651709046915,5.994897959183674,0.8541462438682279,3.6360585894233255,3.6178100736293946,0.015242921814259217,0.01020408163265306,0.29591836734693877,0.42346938775510207,0.22959183673469388,0.04081632653061224
sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8144178367346939,0.2877265161499361,0.3532910297043422,0.5782895,0.6692750000000001,1.310525,1.2805088950858958,3.374991737084091,0.5186822084804388,0.153683993587615,2.9334452262962243,3.1270444603812924,4.274432320498329,1.1240578416767255,3.7980284194680203,0.06882946055110993,3.7182926705042654,3.792441729528117,3.8827743293913284,1.302043010853152,0.18968088655461907,1.0936888041780783,1.2621190791551014,1.5862183550279818,5.994897959183674,0.8112565774683316,3.497770585719269,3.592923689609773,0.005368679503539278,0.01020408163265306,0.25510204081632654,0.5102040816326531,0.17857142857142858,0.04591836734693878
sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8380007091836735,0.2765273529292782,0.32998462876997253,0.5879985,0.6944975,1.31094,1.0051261510911724,3.441118853935891,0.512228004543708,0.14885507484220772,2.9609822060480084,3.179895856103217,4.292052754885097,0.8294666695691808,3.8117080815056807,0.07647710693999041,3.7304156085390945,3.795974673410386,3.9108264780104784,1.3445774183122903,0.22618571458484543,1.094728424620293,1.2974155047018912,1.6672378569584838,5.98469387755102,0.8236122577930742,3.655871271314242,3.628995150689324,0.0397775517450949,0.01020408163265306,0.2602040816326531,0.5153061224489796,0.1683673469387755,0.04081632653061224
sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8387225663265307,0.2922732790864216,0.34847432371610415,0.5696875,0.6944684999999999,1.3131,0.9255625942391091,3.427090634828679,0.531637162697165,0.15512783855031792,2.9261034308733938,3.1481674850720545,4.270632131774567,0.8008668590593968,3.8028002532744756,0.07528972881799703,3.7200852449131845,3.7965744850690313,3.9067355462584406,1.3068090602513056,0.17197014068921934,1.099326236974629,1.288356138627272,1.5430345933940521,5.994897959183674,0.9006655644441097,3.6529245492588016,3.670519283184537,0.004668807063735235,0.015306122448979591,0.28061224489795916,0.4744897959183674,0.15816326530612246,0.0663265306122449
sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8551428418367347,0.2888482347619991,0.3377777613635322,0.576283,0.7371300000000001,1.292735,0.8172670527767163,3.4611725562358178,0.5362168353747511,0.15492346211070052,2.9275227616544153,3.2406999225202435,4.320231680131735,0.6950272662920274,3.799246588940252,0.07262220457673696,3.7169640078433406,3.7863576783467967,3.8838753587634782,1.2963600393920909,0.16805396265341102,1.1207097456213164,1.270801613663255,1.5521670400817278,5.989795918367347,0.880571451274493,3.6968087437499606,3.6367213276873613,-0.008053862008133645,0.01020408163265306,0.28061224489795916,0.4846938775510204,0.17346938775510204,0.03571428571428571
sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.823537831632653,0.2867658533675152,0.3482121189243455,0.576381,0.674944,1.305675,1.1668933805728225,3.3981680056824506,0.5181164057939796,0.152469331983418,2.9514727263201834,3.1429684181014013,4.273354511468424,1.010467993342529,3.8026986389828346,0.07685758004468624,3.7157746215981295,3.7820841045842277,3.8906364183113977,1.3095728893092136,0.1900139813277254,1.104671983039627,1.2779156707463752,1.5581891828009717,6.030612244897959,0.9086217599789284,3.6251169114567103,3.5274519470797063,0.019016476855121003,0.015306122448979591,0.2653061224489796,0.45918367346938777,0.21428571428571427,0.025510204081632654
sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8248741275510203,0.2722234532128554,0.33001817382820964,0.5835165,0.693654,1.27481,1.1576194046228159,3.4094412801588514,0.5018194219972657,0.14718523674756995,2.9543426101131054,3.180609806526661,4.234160352809777,0.9623128957752642,3.805345225612496,0.06856542093356868,3.7250985329569164,3.802437664423035,3.896499012805273,1.3188130783141079,0.18382976757500127,1.1137572980146953,1.2921474788058371,1.5091246130183402,6.0,0.8268454930564446,3.5271856284883802,3.5959368911464975,-0.003874019367540775,0.0,0.29591836734693877,0.4489795918367347,0.2193877551020408,0.030612244897959183
sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.7937417806122449,0.25436500815740387,0.32046317123546336,0.5772984999999999,0.6735745,1.209295,1.2802881470222025,3.3488281795265755,0.46654039673993064,0.13931452189516222,2.941256061424615,3.133586694762312,4.11373730271468,1.1130413154938479,3.807912559123696,0.07490323660809421,3.725069072292576,3.803959264100375,3.9120895372745492,1.3302384365627795,0.21024869264942972,1.0935243149560387,1.2914857624621092,1.6345820489377618,5.994897959183674,0.8237386707876092,3.477529082053914,3.530050087052811,0.011652427267660987,0.01020408163265306,0.2602040816326531,0.5,0.18877551020408162,0.03571428571428571
sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.8143695,0.2819449051466764,0.3462125056824086,0.5818795,0.678326,1.3435,1.3298960396921484,3.387695364962798,0.5068378851237277,0.1496114114526186,2.9498152470578827,3.1475647474056143,4.296589299136995,1.1740342688927106,3.8102168370708434,0.07672770294540371,3.7329957679274033,3.808756266656266,3.9073362754514473,1.3294767782149233,0.2027618214604049,1.094748750175329,1.3121289361311474,1.5845462262595946,5.994897959183674,0.8835079026683733,3.4981807274385384,3.6260960691553317,0.047434613361246984,0.0,0.32142857142857145,0.42346938775510207,0.20408163265306123,0.04081632653061224
