lambda_cc,gamma,grupo,count,mean,std,min,median,max
-0.1,0.05,"lambda=-0.1, gamma=0.05",30,2.849779027652287,0.6639265126582679,1.7854310686687922,2.777129521127965,4.3357599089359296
-0.1,0.08,"lambda=-0.1, gamma=0.08",30,2.5960047927208296,0.6576200380313721,1.565001548284869,2.55640884955277,4.117662972241097
0.0,0.05,"lambda=0, gamma=0.05",30,2.9865489583326137,0.8957062301796268,1.6704281795788412,2.7924136972660607,5.648241347276019
0.0,0.08,"lambda=0, gamma=0.08",30,2.4129099656053796,0.8750771703283944,1.3601316165020194,2.109244504187986,4.523335711380436
