lambda_cc,gamma,grupo,sim_id,replica,distancia_a_centroide
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_009__20260531_145740_346805,9,1.7601560398591132
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_010__20260531_145756_330985,10,2.138914329793306
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_011__20260531_145813_552674,11,1.61590664778546
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_012__20260531_145830_437805,12,2.5034357500688165
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_013__20260531_145845_979518,13,2.9435391715807895
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_014__20260531_145902_520234,14,3.7590165721704807
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_015__20260531_145918_257153,15,1.565001548284869
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_016__20260531_145934_826630,16,4.117662972241097
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_017__20260531_145952_627936,17,3.332641970317036
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_018__20260531_150008_299897,18,2.9606925054266626
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_019__20260531_150024_126624,19,2.198340604173678
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_020__20260531_150041_337390,20,2.7540710807743465
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_021__20260531_150056_746101,21,1.682852953997096
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_022__20260531_150114_882100,22,1.9061420248621583
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_023__20260531_150130_205229,23,1.9061420248621583
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_024__20260531_150147_240732,24,2.3446903378650754
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_025__20260531_150203_472309,25,3.7590165721704807
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_026__20260531_150222_649215,26,2.7698896217656492
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_027__20260531_150239_023388,27,2.8813527549012834
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_028__20260531_150254_720777,28,3.5239993294883982
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_029__20260531_150312_314455,29,1.9061420248621583
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_000__20260531_150327_974608,0,4.448590253730475
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_001__20260531_150347_013880,1,3.8172417973082253
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_002__20260531_150403_435838,2,2.6757504245299804
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_003__20260531_150421_569216,3,2.84857363388748
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_004__20260531_150439_052992,4,1.6704281795788412
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_005__20260531_150455_603966,5,3.0413857069654346
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_006__20260531_150512_516388,6,2.7135904373104
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_007__20260531_150531_212307,7,3.4285332547628244
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_008__20260531_150547_639695,8,2.73382264095704
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_009__20260531_150605_779532,9,3.6339897129349636
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_010__20260531_150622_063881,10,3.2702731637396605
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_011__20260531_150639_977995,11,3.249036718715202
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_012__20260531_150656_323675,12,2.0301513291453612
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_013__20260531_150712_997684,13,2.1532680942265556
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_014__20260531_150730_777555,14,2.59537350199297
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_015__20260531_150748_716829,15,5.648241347276019
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_016__20260531_150805_522378,16,2.0301513291453612
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_017__20260531_150825_666859,17,1.6704281795788412
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_018__20260531_150843_637511,18,1.6704281795788412
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_019__20260531_150900_754229,19,4.185158694728003
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_020__20260531_150921_024793,20,2.6742774946219843
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_021__20260531_150938_856419,21,2.7385594241529128
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_022__20260531_150956_664789,22,3.7241558876563237
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_023__20260531_151015_299709,23,3.6339897129349636
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_024__20260531_151033_297914,24,4.049173336768895
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_025__20260531_151051_283259,25,2.302077012490362
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_026__20260531_151107_133707,26,2.5554308011005413
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_027__20260531_151125_571579,27,2.70256096403348
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_028__20260531_151142_331885,28,2.846267970379208
0.0,0.05,"lambda=0, gamma=0.05",sim__lam_0__gam_0p05__rep_029__20260531_151159_421063,29,2.8555595657472637
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_000__20260531_151217_622798,0,3.345177437015936
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_001__20260531_151228_841532,1,1.5707142291222862
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_002__20260531_151240_449831,2,1.3601316165020194
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_003__20260531_151252_181321,3,3.8897776404000832
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_004__20260531_151304_290305,4,2.1925322251020027
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_005__20260531_151315_832128,5,1.8775344513178762
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_006__20260531_151327_734806,6,2.154707181946569
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_007__20260531_151339_927903,7,4.523335711380436
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_008__20260531_151353_845845,8,1.998188766164336
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_009__20260531_151407_323285,9,2.197996169265204
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_010__20260531_151418_925213,10,3.3935964316677545
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_011__20260531_151431_673545,11,4.047820184847601
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_012__20260531_151444_761881,12,1.7962407325575493
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_013__20260531_151456_168776,13,1.6413164459198144
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_014__20260531_151507_836828,14,2.041760740761859
