lambda_cc,gamma,grupo,sim_id_1,replica_1,sim_id_2,replica_2,distancia
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.640015593215069
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,4.229430780952055
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,5.001139044221156
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.320107943745521
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.8153536631303697
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,3.3669589971631635
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.010298325614333
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,2.244090113588554
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,4.5542164311877364
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,3.8269714413272857
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,3.0254908710333535
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,4.393819198386009
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,4.761475243230503
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,3.6905147382463506
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.0632200327784744
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,3.8465081979167453
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.419014683918215
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,5.288379169462843
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,4.300766850284497
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,4.5542164311877364
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.697317797816667
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,2.798571911411491
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,5.1505703892549715
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,5.3423832023525515
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,4.000911831723891
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,2.945508594877322
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,5.8743317059936615
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,4.319021812733602
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,3.840411675516315
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.929536599430997
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,5.906273356879753
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,4.928437884419284
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,0.0
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.958955663972889
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.130606516434949
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,3.649490816548412
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,4.365937647889248
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,4.179766056445819
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,2.6226794924979906
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.4309143572136347
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,4.837175814980976
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,5.695207249429081
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.753240406983273
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.6057327306894416
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.1505703892549715
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.009784854443707
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.217633067912942
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,4.1018341507539375
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,4.437778679893339
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,3.8157296073285183
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.8627834673365196
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,3.8764387858648184
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.3770050118274515
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,3.9836996764668133
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,4.6604748531673375
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.3423832023525515
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.008048958042144
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.439765413705477
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,3.113104827015719
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,5.266313960534892
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,4.821122155790052
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,2.289912079353336
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.0372402460490555
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.365546779303378
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,5.379300497810103
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,4.000911831723891
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.256416369780844
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.691176924357766
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,4.758660974703507
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,4.391855064329612
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,3.939367326878893
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.152458707069586
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,5.142066776444068
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.9353103313442865
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,2.945508594877322
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.692625119254367
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.211696032711488
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,4.169182803430957
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,5.898433589077257
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,6.007065803403051
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.663856057056853
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,4.411230750726466
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.8743317059936615
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.8917544786117
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.2116809132514015
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,4.327380297668017
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.455183940516613
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,6.052715500825705
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.4865833082032283
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,4.319021812733602
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.254288345821092
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.234897847207088
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,3.8632575711975643
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,5.082102954668756
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,5.441065464638462
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,3.840411675516315
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.140038327120091
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.618843900916383
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,6.776674767014461
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,4.929674810327481
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,4.929536599430997
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,6.807444988136135
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,5.456802859312727
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,6.912993167194423
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.906273356879753
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,3.0550110109828488
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.355601463964572
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,4.928437884419284
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,6.294313850611743
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.042370819353768
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,5.958955663972889
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,4.130606516434949
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.5303706676648843
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_001__20260531_145527_036433,1,4.522941428777663
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_002__20260531_145543_733987,2,3.4725676917330084
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_003__20260531_145600_741740,3,3.2975178636871707
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_004__20260531_145617_076186,4,3.410600657596536
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_005__20260531_145635_358942,5,4.4800796746883496
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_006__20260531_145652_967841,6,3.6779405922466006
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_007__20260531_145708_218092,7,4.38394718640947
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_008__20260531_145723_506177,8,3.166332493464974
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_009__20260531_145740_346805,9,3.345448490174395
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_010__20260531_145756_330985,10,3.3457891971587332
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_011__20260531_145813_552674,11,1.9926725017399896
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_012__20260531_145830_437805,12,3.4246240896229807
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_013__20260531_145845_979518,13,3.908417513061114
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_014__20260531_145902_520234,14,5.191505371765419
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_015__20260531_145918_257153,15,2.413492926369708
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_016__20260531_145934_826630,16,5.884058958389308
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_017__20260531_145952_627936,17,4.9655965167565235
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_018__20260531_150008_299897,18,3.9233172747297127
-0.1,0.08,"lambda=-0.1, gamma=0.08",sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,sim__lam_m0p1__gam_0p08__rep_019__20260531_150024_126624,19,2.1032994510244225
