lambda_cc_1,gamma_1,grupo_1,lambda_cc_2,gamma_2,grupo_2,distancia_centroides,within_mean_1,within_mean_2,within_mean_promedio,separation_ratio
-0.1,0.05,"lambda=-0.1, gamma=0.05",-0.1,0.08,"lambda=-0.1, gamma=0.08",5.901802393850111,2.849779027652288,2.5960047927208296,2.7228919101865587,2.1674758266279284
-0.1,0.05,"lambda=-0.1, gamma=0.05",0.0,0.05,"lambda=0, gamma=0.05",3.4696513855505917,2.849779027652288,2.9865489583326115,2.91816399299245,1.1889843730107215
-0.1,0.05,"lambda=-0.1, gamma=0.05",0.0,0.08,"lambda=0, gamma=0.08",12.641692214705582,2.849779027652288,2.4129099656053787,2.6313444966288335,4.804271060251358
-0.1,0.08,"lambda=-0.1, gamma=0.08",0.0,0.05,"lambda=0, gamma=0.05",3.2298015813845513,2.5960047927208296,2.9865489583326115,2.7912768755267203,1.157105412831925
-0.1,0.08,"lambda=-0.1, gamma=0.08",0.0,0.08,"lambda=0, gamma=0.08",8.773918480935606,2.5960047927208296,2.4129099656053787,2.504457379163104,3.503321140113601
0.0,0.05,"lambda=0, gamma=0.05",0.0,0.08,"lambda=0, gamma=0.08",11.04791831172273,2.9865489583326115,2.4129099656053787,2.699729461968995,4.092231635559937
