sim_id,replica,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.655696043466138,True
sim__lam_m0p1__gam_0p08__rep_001__20260531_145527_036433,1,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.924318917632819,True
sim__lam_m0p1__gam_0p08__rep_002__20260531_145543_733987,2,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.0475263704015485,True
sim__lam_m0p1__gam_0p08__rep_003__20260531_145600_741740,3,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.4489532342687284,True
sim__lam_m0p1__gam_0p08__rep_004__20260531_145617_076186,4,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.6133096601842127,True
sim__lam_m0p1__gam_0p08__rep_005__20260531_145635_358942,5,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.7407961808926338,True
sim__lam_m0p1__gam_0p08__rep_006__20260531_145652_967841,6,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.832069203638744,True
sim__lam_m0p1__gam_0p08__rep_007__20260531_145708_218092,7,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.6334257142292548,True
sim__lam_m0p1__gam_0p08__rep_008__20260531_145723_506177,8,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.466529100501223,True
sim__lam_m0p1__gam_0p08__rep_009__20260531_145740_346805,9,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.8208510757163208,True
sim__lam_m0p1__gam_0p08__rep_010__20260531_145756_330985,10,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.2126699963379015,True
sim__lam_m0p1__gam_0p08__rep_011__20260531_145813_552674,11,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.6716275666746099,True
sim__lam_m0p1__gam_0p08__rep_012__20260531_145830_437805,12,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.5897611207608477,True
sim__lam_m0p1__gam_0p08__rep_013__20260531_145845_979518,13,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.0450405223249564,True
sim__lam_m0p1__gam_0p08__rep_014__20260531_145902_520234,14,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.8886378332798075,True
sim__lam_m0p1__gam_0p08__rep_015__20260531_145918_257153,15,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.6189671189153805,True
sim__lam_m0p1__gam_0p08__rep_016__20260531_145934_826630,16,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",4.2596513505942415,True
sim__lam_m0p1__gam_0p08__rep_017__20260531_145952_627936,17,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.4475606589486563,True
sim__lam_m0p1__gam_0p08__rep_018__20260531_150008_299897,18,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.0627853504413762,True
sim__lam_m0p1__gam_0p08__rep_019__20260531_150024_126624,19,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.2741454525934657,True
sim__lam_m0p1__gam_0p08__rep_020__20260531_150041_337390,20,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.84903904907691,True
sim__lam_m0p1__gam_0p08__rep_021__20260531_150056_746101,21,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.7408823662038897,True
sim__lam_m0p1__gam_0p08__rep_022__20260531_150114_882100,22,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.971871060202227,True
sim__lam_m0p1__gam_0p08__rep_023__20260531_150130_205229,23,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.971871060202227,True
sim__lam_m0p1__gam_0p08__rep_024__20260531_150147_240732,24,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.4255417288259418,True
sim__lam_m0p1__gam_0p08__rep_025__20260531_150203_472309,25,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.888637833279808,True
sim__lam_m0p1__gam_0p08__rep_026__20260531_150222_649215,26,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.865403056998952,True
sim__lam_m0p1__gam_0p08__rep_027__20260531_150239_023388,27,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.9807097464496017,True
sim__lam_m0p1__gam_0p08__rep_028__20260531_150254_720777,28,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.645516547746622,True
sim__lam_m0p1__gam_0p08__rep_029__20260531_150312_314455,29,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.971871060202227,True
sim__lam_0__gam_0p05__rep_000__20260531_150327_974608,0,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",4.601989917652213,True
sim__lam_0__gam_0p05__rep_001__20260531_150347_013880,1,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.948870824801606,True
sim__lam_0__gam_0p05__rep_002__20260531_150403_435838,2,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.768017680548256,True
sim__lam_0__gam_0p05__rep_003__20260531_150421_569216,3,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.9468003109180843,True
sim__lam_0__gam_0p05__rep_004__20260531_150439_052992,4,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",1.728029151288457,True
sim__lam_0__gam_0p05__rep_005__20260531_150455_603966,5,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.1462610761711383,True
