lambda_cc,gamma,grupo,area_mean,area_std,area_cv,area_q10,area_q50,area_q90,area_skew,perimeter_mean,perimeter_std,perimeter_cv,perimeter_q10,perimeter_q50,perimeter_q90,perimeter_skew,shape_mean,shape_std,shape_q10,shape_q50,shape_q90,elongation_mean,elongation_std,elongation_q10,elongation_q50,elongation_q90,neighbors_mean,neighbors_std,center_x_std,center_y_std,xy_corr,frac_neighbors_4,frac_neighbors_5,frac_neighbors_6,frac_neighbors_7,frac_neighbors_8
-0.1,0.05,"lambda=-0.1, gamma=0.05",1.1721287236376867,0.5565786244265375,-1.3784069544155075,1.3976019135209323,1.2524388435016047,0.9246776732730299,-0.6135081839355239,1.1408510022822853,-0.014470335218478434,-1.3723794238502052,1.3258775211855212,1.2145668216541146,0.8924528308112616,-0.5664968446438915,0.8717213222516637,0.29212650507133936,1.0914361468471028,0.9534270359855276,0.7652053985038993,0.8710418257707027,0.7599676365183861,0.8861957386960334,0.8940521764343103,0.7800551818730289,0.05303115115112996,0.21557604967926175,1.093818885760414,1.0431224389823976,0.18111430043622673,-0.057701728442166554,0.3682677509246553,-0.34623021331728576,0.28134582240304573,0.15262958422888373
-0.1,0.08,"lambda=-0.1, gamma=0.08",-0.14735963767221313,0.2524856514600748,0.5239012005030651,-0.3218354320768153,-0.23781385774244246,0.08050418139177963,-0.38432247348306864,-0.10976088397335505,0.5284580208643888,0.7510845751992891,-0.2455840515752255,-0.1802538473611875,0.11395413413833998,-0.38957495860448055,-0.011238917346539194,0.44284663737215924,-0.48387353885239726,-0.16360316492767815,0.06222659757768049,0.03582940610613994,-0.031611286792734325,0.07414176631292367,0.04191877899797229,0.0679210549398944,0.592399711725909,0.6850966052616436,-0.040614796715614514,-0.04741034745931009,-0.30635202311969373,0.22970088665696456,0.6271103926093478,-0.6541572930438035,0.1521929442241425,0.6885241401925044
0.0,0.05,"lambda=0, gamma=0.05",0.4972327746292116,0.7734961132313225,-0.03859923382147117,0.2830464013272903,0.4402683255876011,0.5922750932197605,-0.6406429706317974,0.5154286587799854,0.8947997224383928,0.34994041859399017,0.3500247393036781,0.4591363417020239,0.6020642940261763,-0.68151627191126,0.6968338248709699,0.6427258317299949,0.6151050593618863,0.6574948675734035,0.6912937665972567,0.6678994784081963,0.7288890203295715,0.4519333043974409,0.627050243036464,0.6939287728115936,-0.15536124725275174,0.5166575116333314,0.5160910536882546,0.5826705740532861,0.06978233016180961,0.5709914920871817,0.32204585062381785,-0.42512062217283986,0.1657879840324482,0.32801325708970475
0.0,0.08,"lambda=0, gamma=0.08",-1.5220018605946897,-1.5825603891179367,0.8931049877339102,-1.3588128827714077,-1.4548933113467644,-1.5974569478845675,1.638473628050389,-1.5465187770889153,-1.4087874080843057,0.2713544300569299,-1.4303182089139728,-1.4934493159949518,-1.6084712589757804,1.6375880751596328,-1.557316229776124,-1.377698974173499,-1.2226676673566514,-1.4473187386313329,-1.5187257626788089,-1.5747707102850343,-1.4572453700552217,-1.4122708094063698,-1.5630211984687594,-1.5419050096245175,-0.4900696156241656,-1.4173301665742348,-1.5692951427330541,-1.5783826655763755,0.05545539252165748,-0.74299065030198,-1.3174239941578232,1.4255081285339266,-0.5993267506596351,-1.1691669815110932
