lambda_cc,gamma,grupo,within_mean,within_std,within_median,within_max
-0.1,0.05,"lambda=-0.1, gamma=0.05",2.849779027652288,0.6639265126582682,2.777129521127968,4.335759908935926
-0.1,0.08,"lambda=-0.1, gamma=0.08",2.5960047927208296,0.6576200380313737,2.556408849552773,4.1176629722411
0.0,0.05,"lambda=0, gamma=0.05",2.9865489583326115,0.8957062301796267,2.792413697266058,5.648241347276022
0.0,0.08,"lambda=0, gamma=0.08",2.4129099656053787,0.8750771703283943,2.1092445041879815,4.523335711380434
