sim_id,replica,init_id,grupo,lambda_cc,gamma,silhouette
sim__lam_m0p1__gam_0p08__rep_002__20260531_145543_733987,2,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.29717917403465277
sim__lam_m0p1__gam_0p08__rep_003__20260531_145600_741740,3,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.2097081369722975
sim__lam_m0p1__gam_0p08__rep_004__20260531_145617_076186,4,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.2937251169689076
sim__lam_m0p1__gam_0p08__rep_005__20260531_145635_358942,5,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.2770770250531601
sim__lam_m0p1__gam_0p08__rep_006__20260531_145652_967841,6,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.2571467719751711
sim__lam_m0p1__gam_0p08__rep_007__20260531_145708_218092,7,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.23900068607749447
sim__lam_m0p1__gam_0p08__rep_008__20260531_145723_506177,8,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.27038949508698973
sim__lam_m0p1__gam_0p08__rep_009__20260531_145740_346805,9,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.2831404191538796
sim__lam_m0p1__gam_0p08__rep_010__20260531_145756_330985,10,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.31309301569863984
sim__lam_m0p1__gam_0p08__rep_011__20260531_145813_552674,11,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.36001951675678334
sim__lam_m0p1__gam_0p08__rep_012__20260531_145830_437805,12,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.24210818996530747
sim__lam_m0p1__gam_0p08__rep_013__20260531_145845_979518,13,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.26195074745593805
sim__lam_m0p1__gam_0p08__rep_014__20260531_145902_520234,14,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.21207368268444377
sim__lam_m0p1__gam_0p08__rep_015__20260531_145918_257153,15,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.36541209713433365
sim__lam_m0p1__gam_0p08__rep_016__20260531_145934_826630,16,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.1848882978886749
sim__lam_m0p1__gam_0p08__rep_017__20260531_145952_627936,17,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.20132000975540995
sim__lam_m0p1__gam_0p08__rep_018__20260531_150008_299897,18,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.30687454955320626
sim__lam_m0p1__gam_0p08__rep_019__20260531_150024_126624,19,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.39552636312822836
sim__lam_m0p1__gam_0p08__rep_020__20260531_150041_337390,20,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.10124123634200126
sim__lam_m0p1__gam_0p08__rep_021__20260531_150056_746101,21,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.35118938330769567
sim__lam_m0p1__gam_0p08__rep_022__20260531_150114_882100,22,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.28009655735994743
sim__lam_m0p1__gam_0p08__rep_023__20260531_150130_205229,23,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.28009655735994743
sim__lam_m0p1__gam_0p08__rep_024__20260531_150147_240732,24,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.3043400091079903
sim__lam_m0p1__gam_0p08__rep_025__20260531_150203_472309,25,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.21207368268444377
sim__lam_m0p1__gam_0p08__rep_026__20260531_150222_649215,26,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.2851917267553491
sim__lam_m0p1__gam_0p08__rep_027__20260531_150239_023388,27,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.3254163542126891
sim__lam_m0p1__gam_0p08__rep_028__20260531_150254_720777,28,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.20943009335671114
sim__lam_m0p1__gam_0p08__rep_029__20260531_150312_314455,29,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.28009655735994743
sim__lam_0__gam_0p05__rep_000__20260531_150327_974608,0,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.04839354849515668
sim__lam_0__gam_0p05__rep_001__20260531_150347_013880,1,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.16490106568564428
sim__lam_0__gam_0p05__rep_002__20260531_150403_435838,2,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.1404290060308703
sim__lam_0__gam_0p05__rep_003__20260531_150421_569216,3,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.16587743344416267
sim__lam_0__gam_0p05__rep_004__20260531_150439_052992,4,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.24614706308890213
sim__lam_0__gam_0p05__rep_005__20260531_150455_603966,5,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.2296155135443458
sim__lam_0__gam_0p05__rep_006__20260531_150512_516388,6,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,-0.03701982233063184
sim__lam_0__gam_0p05__rep_007__20260531_150531_212307,7,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.04237265640198366
sim__lam_0__gam_0p05__rep_008__20260531_150547_639695,8,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.09590927040517493
sim__lam_0__gam_0p05__rep_009__20260531_150605_779532,9,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.19645867050281596
sim__lam_0__gam_0p05__rep_010__20260531_150622_063881,10,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.09510071117366738
sim__lam_0__gam_0p05__rep_011__20260531_150639_977995,11,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.15346590715412445
sim__lam_0__gam_0p05__rep_012__20260531_150656_323675,12,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.14870536536110404
sim__lam_0__gam_0p05__rep_013__20260531_150712_997684,13,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.24335717727020037
sim__lam_0__gam_0p05__rep_014__20260531_150730_777555,14,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.0713418023510591
sim__lam_0__gam_0p05__rep_015__20260531_150748_716829,15,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.036560422364846704
sim__lam_0__gam_0p05__rep_016__20260531_150805_522378,16,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.14870536536110404
sim__lam_0__gam_0p05__rep_017__20260531_150825_666859,17,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.24614706308890213
sim__lam_0__gam_0p05__rep_018__20260531_150843_637511,18,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.24614706308890213
