componente,varianza_explicada,varianza_explicada_acumulada
PC1,0.7074683903738398,0.7074683903738398
PC2,0.10595892097155121,0.813427311345391
PC3,0.04261466866457738,0.8560419800099685
PC4,0.032140593326052166,0.8881825733360206
PC5,0.027712946227795132,0.9158955195638157
PC6,0.025599964504976792,0.9414954840687925
PC7,0.017244697425391198,0.9587401814941836
PC8,0.010884189354267828,0.9696243708484514
PC9,0.00853693285161794,0.9781613037000694
PC10,0.005650605286985917,0.9838119089870553
