lambda_cc,gamma,grupo,count,mean,std,min,median,max
-0.1,0.05,"lambda=-0.1, gamma=0.05",30,0.24303511072499615,0.06227616165338834,0.09537316200067067,0.26080678592550166,0.34664920655924714
-0.1,0.08,"lambda=-0.1, gamma=0.08",30,0.2715158528059624,0.06233596059434854,0.10124123634200126,0.28009655735994743,0.39552636312822836
0.0,0.05,"lambda=0, gamma=0.05",30,0.13272526390062123,0.08063811160020234,-0.03701982233063184,0.14870536536110404,0.24614706308890213
0.0,0.08,"lambda=0, gamma=0.08",30,0.6277169062191549,0.07379194668299693,0.40462577813408723,0.6564891597212696,0.7080152933510185
