epoch,train_nll_normalized,test_nll_normalized
109,-1.5177159071630288,-1.432312250137329
110,-1.4972364871618815,-1.5166915655136108
111,-1.568699738319884,-1.3624874353408813
112,-1.514959401934374,-1.5446842908859253
113,-1.5668904793913114,-1.5423187017440796
114,-1.5530398697460503,-1.5189204216003418
115,-1.564947482659572,-1.5739574432373047
116,-1.5435439754039684,-1.6186898946762085
117,-1.5868364432252855,-1.365140438079834
118,-1.6063424419187815,-1.4760973453521729
119,-1.4704806209161918,-1.6338257789611816
120,-1.5579079702096774,-1.5411580801010132
121,-1.6085602553214993,-1.5928057432174683
122,-1.6003418305535542,-1.6427350044250488
123,-1.6020807614269132,-1.5685936212539673
124,-1.5764287590429145,-1.5269434452056885
125,-1.5659236026185184,-1.6496834754943848
126,-1.6363252572722176,-1.6093164682388306
127,-1.6198554336307889,-1.5646926164627075
128,-1.6325189559135471,-1.696333646774292
129,-1.631346231384701,-1.6318724155426025
130,-1.5960041825800004,-1.5581717491149902
131,-1.662031433606567,-1.6147067546844482
132,-1.5998974471925917,-1.5944491624832153
133,-1.621588558691944,-1.6303664445877075
134,-1.682003205601095,-1.678338885307312
135,-1.6633890992507794,-1.6658334732055664
136,-1.66222015104285,-1.6583795547485352
137,-1.6248036546910063,-1.6775113344192505
138,-1.656646238731963,-1.674595594406128
139,-1.6697790183809265,-1.1785179376602173
140,-1.663959200838779,-1.4965896606445312
141,-1.6137412002415263,-1.6629202365875244
142,-1.7179051378278354,-1.6604441404342651
143,-1.7201709455521872,-1.759678840637207
144,-1.6851821241502294,-1.5580029487609863
145,-1.6687675000560382,-1.5408625602722168
146,-1.7158589936758388,-1.6985459327697754
147,-1.7279998458611756,-1.7656879425048828
148,-1.640947017396191,-1.7815417051315308
149,-1.7019228960384825,-1.2907867431640625
150,-1.6922807614082103,-1.5882889032363892
151,-1.7062592131687908,-1.651930332183838
152,-1.703184667811363,-1.6113872528076172
153,-1.7391082876154276,-1.6385307312011719
154,-1.6619419962029893,-1.4934194087982178
155,-1.7404731673735585,-1.6550328731536865
156,-1.7555407019923066,-1.7266086339950562
157,-1.7072633962957644,-1.7253152132034302
158,-1.7243650049770682,-1.7759268283843994
159,-1.727765138804306,-1.7873847484588623
160,-1.7351975324747189,-1.6007120609283447
161,-1.7185348781582164,-1.6835124492645264
162,-1.7396247220634862,-1.7277531623840332
163,-1.7788176573171977,-1.7603839635849
164,-1.768301850110706,-1.7659616470336914
165,-1.723956040647932,-1.7850449085235596
166,-1.7340919751794552,-1.728484034538269
167,-1.756724094065332,-1.7422956228256226
168,-1.7522673761260168,-1.5951769351959229
169,-1.7588712728431553,-1.720070242881775
170,-1.7219329568878794,-1.7377431392669678
171,-1.7072275866191768,-1.566720724105835
172,-1.7755797132532647,-1.7864435911178589
173,-1.7454215857411401,-1.7166428565979004
174,-1.7967135162512313,-1.7983373403549194
175,-1.813439542049616,-1.7800769805908203
176,-1.7734667328967748,-1.6096220016479492
177,-1.8254121409424138,-1.8076802492141724
178,-1.8165980397717585,-1.6972967386245728
179,-1.8058394298632867,-1.7166768312454224
180,-1.857351075400918,-1.7983152866363525
181,-1.731592224815397,-1.742235541343689
182,-1.823197039358049,-1.7539427280426025
183,-1.8512087217422684,-1.7148005962371826
184,-1.7760614812649806,-1.8120617866516113
185,-1.8354531861145555,-1.7705464363098145
186,-1.8574808411196797,-1.810040831565857
187,-1.8902862676749286,-1.8080360889434814
188,-1.822174489862052,-1.7980947494506836
189,-1.8466423173616817,-1.790632724761963
190,-1.8455095960518257,-1.839715600013733
191,-1.813411175024719,-1.812515377998352
192,-1.860221446696307,-1.5395851135253906
193,-1.8377721083814849,-1.6871486902236938
194,-1.8472913501661867,-1.8152024745941162
195,-1.8873740940596857,-1.8449476957321167
196,-1.8398364233154594,-1.7347831726074219
197,-1.8726881397310835,-1.8675955533981323
198,-1.8181264837178557,-1.8375259637832642
199,-1.9005373431619508,-1.8629342317581177
200,-1.8950804151063931,-1.8487656116485596
201,-1.870735563953975,-1.7981748580932617
202,-1.8389257086745905,-1.848334789276123
203,-1.875247304490272,-1.86572265625
204,-1.8137518142352602,-1.7696367502212524
205,-1.927253842067101,-1.8652777671813965
206,-1.9001336857965982,-1.87712824344635
207,-1.8435893242057002,-1.8164277076721191
208,-1.8915515198959012,-1.9067462682724
209,-1.7919510073842657,-1.8560967445373535
210,-1.9309955163756307,-1.7989146709442139
211,-1.9208337302565244,-1.8499197959899902
212,-1.93676318266566,-1.9038509130477905
213,-1.950860681564691,-1.7630865573883057
214,-1.90844802009519,-1.9352463483810425
215,-1.9160943349790618,-1.903242826461792
216,-1.9229483675449452,-1.9201141595840454
217,-1.9353920146119914,-1.8773044347763062
218,-1.9871780066882758,-1.9656318426132202
219,-1.8887821465703099,-1.9270100593566895
220,-1.9392235202330554,-1.9353017807006836
221,-1.8894986400992422,-1.9238835573196411
222,-1.931215512851782,-1.8927388191223145
223,-1.9310912013825832,-1.9727281332015991
224,-1.8573432097051235,-1.9176923036575317
225,-1.9846564081176137,-1.9292595386505127
226,-1.9312255485536431,-1.8678733110427856
227,-1.8642540716441223,-1.9319454431533813
228,-1.929185558931349,-1.865601897239685
229,-1.9349285926121897,-1.6657671928405762
230,-1.9377565987787237,-1.9230098724365234
231,-1.9344984136611416,-1.9947888851165771
232,-1.9497498741643942,-1.9351520538330078
233,-1.9700459354128912,-1.9300769567489624
234,-1.9144667750701763,-1.886772632598877
235,-1.9736666423540001,-1.7394508123397827
236,-1.927935653257767,-1.9539663791656494
237,-1.9226117589096579,-1.9252595901489258
238,-1.9878773851156455,-1.918271780014038
239,-1.981149222848594,-1.8898128271102905
240,-1.9328397327832443,-1.994095802307129
241,-1.9441540695141026,-1.948417067527771
242,-1.9754365074535303,-1.9688925743103027
243,-1.9898845382799824,-1.9583723545074463
244,-1.9829163621025545,-1.9760476350784302
245,-1.976284101514437,-1.8938292264938354
246,-1.9546325989722324,-1.9082070589065552
247,-2.0008084923993867,-2.028137445449829
248,-1.9660869526488156,-1.8428970575332642
249,-1.9945722238538885,-1.7613635063171387
250,-1.8954027976292795,-1.9246809482574463
251,-2.0001008616896496,-1.9782570600509644
252,-1.9899239720513047,-1.9295234680175781
253,-1.9062146527804675,-1.9899120330810547
254,-1.9946440503952352,-1.9469304084777832
255,-1.9732079516065881,-1.859229326248169
256,-2.0054621149498923,-1.9799906015396118
257,-1.9221541942875215,-1.896301507949829
258,-1.9779101978728995,-1.809799075126648
259,-2.0154494903133933,-1.9482629299163818
260,-1.9843397439132677,-1.9680249691009521
261,-1.9805207442619754,-1.8492311239242554
262,-1.9549545609873826,-1.8271901607513428
263,-2.0010787118705307,-1.8275588750839233
264,-1.9551121518525891,-1.9999533891677856
265,-1.993298338961535,-1.9304674863815308
266,-2.0290951195962994,-1.9871926307678223
267,-1.974122524746693,-1.9621424674987793
268,-2.0088004465129616,-1.7416406869888306
269,-1.9861542066967564,-1.973584771156311
270,-2.0192753465830675,-1.7942949533462524
271,-1.9434155052619109,-1.9080458879470825
272,-2.0402576543576845,-1.9545930624008179
273,-1.9974976692234996,-1.952538013458252
274,-2.0172618062269017,-1.9555068016052246
275,-2.0301468851828774,-2.0386717319488525
276,-2.0228910281192802,-1.947346568107605
277,-2.0628476119063497,-1.9684809446334839
278,-2.0217302198877607,-1.855128526687622
279,-2.017163969299288,-2.020972490310669
280,-2.0515410323588523,-1.8301047086715698
281,-2.049538836404199,-1.968752145767212
282,-1.9813664581023578,-2.000917911529541
283,-2.0415349861960186,-1.8349963426589966
284,-2.0082136069482175,-1.9665141105651855
285,-1.9910087611915666,-1.8927339315414429
286,-2.0305704965953137,-1.878834843635559
287,-2.032127868191828,-1.938652753829956
288,-2.0639401804838435,-1.889596939086914
289,-2.077058333759502,-1.8593887090682983
290,-2.0197212481035556,-1.9931366443634033
291,-2.0621933679024895,-2.0391383171081543
292,-1.995354178346604,-1.9884525537490845
293,-2.076073855542122,-2.0225613117218018
294,-1.9935902537293835,-1.7099217176437378
295,-2.063474391324999,-1.9724533557891846
296,-1.9754590013752813,-1.9609369039535522
297,-2.0757265671880902,-1.9699821472167969
298,-2.063871762975292,-1.9040610790252686
299,-2.037762421110402,-1.69246506690979
300,-2.074308775796811,-2.055537700653076
